Would you like to continue to finish this survey?,How long have you been programming?,How long have you participated (in any way) in Open Source Software (OSS)?,"Please indicate your level of agreement with the following statement:


""I pay attention to the 'Why' information when writing commit messages.""","Please indicate your level of agreement with the following statement: 

""I pay attention to the 'What' information when writing commit messages.""",Do you think the quality of previous commit messages written by others has any impact on the code change that you commit?,"Please identify the potential impacts of not having ""Why"" information in commit messages: - Other developers may not fully/correctly understand the code changes made in the commits","Please identify the potential impacts of not having ""Why"" information in commit messages: - The maintainability of the software will be hampered","Please identify the potential impacts of not having ""Why"" information in commit messages: - The readability/understandability of the entire code base will be reduced","Please identify the potential impacts of not having ""Why"" information in commit messages: - The software's handover in the future will be more difficult","Please identify the potential impacts of not having ""Why"" information in commit messages: - There is no impact","If you believe there are other impacts of not having ""Why"" information in commit message, please briefly describe:","Please identify the potential impacts of not having ""What"" information in commit messages: - Other developers may not fully/correctly understand the code changes made in the commits","Please identify the potential impacts of not having ""What"" information in commit messages: - The maintainability of the software will be hampered","Please identify the potential impacts of not having ""What"" information in commit messages: - The readability/understandability of the entire code base will be reduced","Please identify the potential impacts of not having ""What"" information in commit messages: - The software's handover in the future will be more difficult","Please identify the potential impacts of not having ""What"" information in commit messages: - There is no impact","If you believe there are other impacts of not having ""What"" information in commit message, please briefly describe:","Do you think ""Good"" commit message is important in ensuring software quality?",Which type of information in commit messages do you think is more important in preventing bugs? - Selected Choice,"Which type of information in commit messages do you think is more important in preventing bugs? - Other, please specify: - Text","Researchers have found that some developers include ""Why"" information in commit messages by providing an issue report/pull request link.

Do you think it’s a good practice to attach issue report/pull request links to commit messages (instead of directly writing texts) to include ""Why"" information?","Please indicate your level of agreement with the following statement:

""When I see a commit message with an issue report/pull request link, and this commit message does not seem to have 'Why', I would always expect to get additional information in the link.""","Are you aware of any guidelines about writing ""Good"" commit messages? - Selected Choice","Are you aware of any guidelines about writing ""Good"" commit messages? - Yes, please specify: (e.g. links, documents...) - Text","In addition to it containing ""What"" and ""Why"", what other aspects do you think are also important to writing a ""Good"" commit message? Select all that apply - Selected Choice","In addition to it containing ""What"" and ""Why"", what other aspects do you think are also important to writing a ""Good"" commit message? Select all that apply - Other, please specify: - Text","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""Why"": - Selected Choice","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""Why"": - Other, please specify: - Text","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""What"": - Selected Choice","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""What"": - Other, please specify: - Text",Please briefly describe the reasons for selecting the choices of the previous 2 questions:
I consent,Over 20 years,Over 20 years,Agree,Agree,Probably yes,Strongly agree,Agree,Disagree,Agree,Strongly disagree,,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Probably not,Strongly agree,"Yes, please specify: (e.g. links, documents...)",https://chris.beams.io/posts/git-commit/,,,"I tend to write ""Why"" in commit messages over time",,I do not know,,
I consent,15 years or more but less than 20 years,5 years or more but less than 10 years,Agree,Strongly agree,Probably not,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,Probably yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",https://www.freecodecamp.org/news/how-to-write-better-git-commit-messages/,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"Other, please specify:",Necessity to fast acknowledge better details for a commit/code change reason,"I tend to write ""What"" in commit messages over time",,"The main reason is necessity to fast acknowledge a change, like when doing deploys, testing, etc"
I consent,5 years or more but less than 10 years,5 years or more but less than 10 years,Strongly disagree,Strongly agree,Probably not,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,"I want to be clear...all of the work I do with software involves hosted source control management systems like BitBucket or GitHub. I do expect commits to link to prior discussions on those platforns, like pull requests,and that those discussions provide a clear ""why"" for code changes. That's why I've said here that I don't think including ""why"" information in commit messages itself is important.",Strongly agree,Strongly agree,Agree,Agree,Disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)","""conventional commits""","A consice and to-the-point writing with the number of words restricted,A grammatically correct writing that is easy to read/understand",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,Over 20 years,5 years or more but less than 10 years,Agree,Agree,Probably yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Agree,Agree,Agree,Agree,Strongly disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Probably not,Agree,,,A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,Why and What is important for the revision of my work and feedback of my partners.
I consent,Over 20 years,Over 20 years,Strongly agree,Agree,Definitely yes,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Probably yes,Strongly agree,No,,"A grammatically correct writing that is easy to read/understand,Other, please specify:",Avoid uncommon acronyms,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,15 years or more but less than 20 years,10 years or more but less than 15 years,Agree,Agree,Probably not,Agree,Agree,Agree,Strongly agree,Disagree,,Agree,Agree,Agree,Agree,Disagree,,Probably yes,"""Why"" (a description of the reasons for the changes)",,Definitely not,Disagree,No,,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,I tend to not write commit messages at all,,
I consent,Over 20 years,Over 20 years,Strongly agree,Strongly agree,Probably yes,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,,Probably yes,"""Why"" (a description of the reasons for the changes)",,Probably not,Disagree,No,,A consice and to-the-point writing with the number of words restricted,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,5 years or more but less than 10 years,Agree,Disagree,Definitely yes,Agree,Agree,Agree,Agree,Strongly disagree,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,"If changes cannot be coherently described, unrelated changes may be grouped together in the same review, making it harder to review",Definitely yes,"""Why"" (a description of the reasons for the changes)",,Probably not,Agree,No,,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to ignore writing ""What"" in commit messages over time",,browsing unhelpful history reminds me to leave better breadcrumbs for the future
I consent,Over 20 years,15 years or more but less than 20 years,Agree,Agree,Probably not,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,,Agree,Agree,Agree,Neither agree nor disagree,Disagree,,Probably yes,"""Why"" and ""What"" are equally important",,Probably yes,Strongly agree,No,,A consice and to-the-point writing with the number of words restricted,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,10 years or more but less than 15 years,5 years or more but less than 10 years,Neither agree nor disagree,Strongly agree,Definitely yes,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,"Without explicitly asking ""Why"", it can become easier to include multiple individual problems into one commit. When you ask why explicitly, it's easier to break off to smaller commits, with cleaner separation of concern",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Probably yes,"""Why"" and ""What"" are equally important",,Probably not,Strongly agree,No,,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project",,"I tend to write ""Why"" in commit messages over time",,"I tend to ignore writing ""What"" in commit messages over time",,"I generally commit explaining what the end result (or what was the outcome achieved). I rarely explain the what, as that can be seen from the code diff (what exactly was changed) to get the outcome."
I consent,5 years or more but less than 10 years,1 year or more but less than 2 years,Agree,Agree,Probably yes,Agree,Neither agree nor disagree,Agree,Agree,Disagree,,Agree,Neither agree nor disagree,Agree,Agree,Disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Probably yes,Agree,,,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,Over 20 years,15 years or more but less than 20 years,Agree,Agree,Probably yes,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Agree,No,,A consice and to-the-point writing with the number of words restricted,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,10 years or more but less than 15 years,10 years or more but less than 15 years,Neither agree nor disagree,Neither agree nor disagree,Probably yes,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Probably yes,"""Why"" (a description of the reasons for the changes)",,Probably yes,Agree,"Yes, please specify: (e.g. links, documents...)",n/a,A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to write ""Why"" in commit messages over time",,"I tend to ignore writing ""What"" in commit messages over time",,
I consent,10 years or more but less than 15 years,Less than 1 year,Strongly agree,Strongly agree,Definitely yes,Agree,Strongly agree,Strongly agree,Agree,Disagree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,,Definitely yes,,,,,,,,,,,,,
I consent,Over 20 years,2 years or more but less than 5 years,Agree,Neither agree nor disagree,Probably yes,Agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Strongly agree,No,,"Other, please specify:","If other code was touched to attain the ""why"", a list of such changes should be provided","I tend to write ""Why"" in commit messages over time",,"Other, please specify:",I write it only if it is relevant,-
I consent,5 years or more but less than 10 years,Less than 1 year,Strongly agree,Strongly agree,Definitely yes,Strongly agree,Agree,Agree,Agree,Strongly disagree,,Strongly agree,Agree,Agree,Agree,Disagree,,Probably yes,"""Why"" (a description of the reasons for the changes)",,Probably not,Agree,No,,A grammatically correct writing that is easy to read/understand,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,Over 20 years,Over 20 years,Strongly agree,Neither agree nor disagree,Probably not,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,,Probably yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Strongly agree,No,,,,,,,,
I consent,5 years or more but less than 10 years,1 year or more but less than 2 years,Agree,Agree,Probably not,Agree,Agree,Agree,Agree,Disagree,,Agree,Agree,Agree,Agree,Disagree,,Probably yes,"""Why"" and ""What"" are equally important",,Probably not,Agree,,,,,,,,,
I consent,10 years or more but less than 15 years,15 years or more but less than 20 years,Strongly agree,Strongly agree,Definitely yes,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Agree,"Yes, please specify: (e.g. links, documents...)",https://cbea.ms/git-commit/,"A consistent commit message writing style/format/pattern across all commits in a project,The inclusion of test case information related to the code change",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,Explain problems ans implemented solutions
I consent,10 years or more but less than 15 years,5 years or more but less than 10 years,Disagree,Agree,Definitely yes,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,,Strongly agree,Neither agree nor disagree,Agree,Agree,Disagree,,Probably yes,"""Why"" and ""What"" are equally important",,Probably yes,Strongly agree,No,,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"My commit messages are focusing on the what. The why would usually require more context and is linked in the PR/issue, probably because creating a good Why summary is more difficult."
I consent,5 years or more but less than 10 years,5 years or more but less than 10 years,Strongly agree,Disagree,Probably not,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Auditing purposes (we relate codechanges to tickets to business requests),Disagree,Disagree,Disagree,Disagree,Agree,,Probably yes,"Other, please specify:",I think commit messages should not have impact on preventing bugs. Test code should have this responsibility,Probably yes,Agree,No,,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project,Other, please specify:",Relationship to ticketing system,"I tend to write ""Why"" in commit messages over time",,"I tend to ignore writing ""What"" in commit messages over time",,The 'why' usually cannot be derived from the code changes. The 'what' is obvious from the changes in the commit. 
I consent,15 years or more but less than 20 years,5 years or more but less than 10 years,Strongly agree,Agree,Definitely yes,Strongly agree,Agree,Agree,Agree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Probably not,Strongly agree,"Yes, please specify: (e.g. links, documents...)",https://www.conventionalcommits.org/en/v1.0.0 and https://gitmoji.dev,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,What is great for a quick summary of describing change / Why is mandatory to justify design decisions taken into the change
I consent,Over 20 years,1 year or more but less than 2 years,Agree,Agree,Definitely yes,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Agree,"Yes, please specify: (e.g. links, documents...)",Random blog entries on the internet,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,I do not know,,"I tend to write ""What"" in commit messages over time",,
I consent,15 years or more but less than 20 years,15 years or more but less than 20 years,Neither agree nor disagree,Agree,Definitely yes,Disagree,Disagree,Disagree,Disagree,Strongly agree,,Agree,Agree,Agree,Agree,Strongly disagree,,Probably yes,"""What"" (a summary of the code changes in the commit)",,Probably not,Neither agree nor disagree,"Yes, please specify: (e.g. links, documents...)",https://medium.com/compass-true-north/writing-good-commit-messages-fc33af9d6321,A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"""What"" for me is more important than ""Why"" because I prefer commits that are short regarding coding changes therefore making several commits to achieve the desired functionality, this for me is better practice than focus in the ""Why"" which for me opens a door for big commits giving the fact that the developer will add they ""why"" that big commit is for."
I consent,5 years or more but less than 10 years,Less than 1 year,Agree,Agree,Definitely yes,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,Probably yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand,The inclusion of test case information related to the code change",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to ignore writing ""What"" in commit messages over time",,
I consent,Over 20 years,15 years or more but less than 20 years,Neither agree nor disagree,Agree,Probably yes,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,,Probably yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",https://cbea.ms/git-commit/,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,Over 20 years,Over 20 years,Agree,Agree,Definitely yes,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,,Agree,Agree,Agree,Agree,Strongly disagree,"By ""What"" in this context, I mean a summary of what it does. Of course the git diff tells exactly what changed. The point is to save another developer time by including the synopsis.",Definitely yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Agree,"Yes, please specify: (e.g. links, documents...)",Mostly development guides and following the convention of each project. Many projects have PR templates that ask for relevant information.,"A consistent commit message writing style/format/pattern across all commits in a project,The inclusion of test case information related to the code change,Other, please specify:", Having jira ids is really critical.,"I tend to write ""Why"" in commit messages over time",,"Other, please specify:","Over time, I've learned that summarizing the change is most important.",Lots of time reading code and doing software archeology to understand why the code does what it does. 
I consent,2 years or more but less than 5 years,1 year or more but less than 2 years,Agree,Agree,Probably not,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,
I consent,10 years or more but less than 15 years,2 years or more but less than 5 years,Disagree,Agree,Definitely not,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly agree,,Agree,Neither agree nor disagree,Agree,Agree,Disagree,,Probably yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Strongly disagree,No,,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,The what is a summary of the commit; the why is best if a single reference
I consent,Over 20 years,10 years or more but less than 15 years,Neither agree nor disagree,Strongly agree,Probably not,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Probably yes,Agree,No,,A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,Over 20 years,15 years or more but less than 20 years,Agree,Agree,Probably yes,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,Probably yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Agree,No,,The inclusion of test case information related to the code change,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"Many expect small commit messages and splitting in many commits. But that leads to small increments of the ""why"", which then tends to be lost in a design phase. A bug fix message usually contains a why and what, but also tends to be a single commit"
I consent,10 years or more but less than 15 years,1 year or more but less than 2 years,Agree,Agree,Definitely yes,Agree,Agree,Agree,Agree,Disagree,,Agree,Agree,Agree,Agree,Strongly disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Strongly agree,,,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,1 year or more but less than 2 years,Disagree,Strongly agree,Probably yes,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,,Probably yes,"""What"" (a summary of the code changes in the commit)",,Probably yes,Strongly agree,No,,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"When you need to dive into commit history, it usually means that you either search for some older version of the code or you debug. ""Why"" needs a lot of context, and ""What"" gives you more information on what was done."
I consent,15 years or more but less than 20 years,5 years or more but less than 10 years,Strongly disagree,Strongly agree,Definitely not,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,,Strongly agree,Agree,Disagree,Agree,Disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Agree,No,,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"Why commit messages are not suited for ""Whys"": ""Whys"" usually pass through multiple stages before they get agreed upon by the team (design -> request for comments -> approval). It would be impossible/awkward to implement using commit messages. If one decides to find an answer to a why question, then they should be iterating over the whole git history.  ""Whys"" for significant code changes are implemented as Architecture Decision Records (ADR). For subtle changes, ""Whys"" remain in corresponding tickets. "
I consent,15 years or more but less than 20 years,2 years or more but less than 5 years,Strongly agree,Neither agree nor disagree,Definitely yes,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,Agree,Agree,Agree,Agree,Disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Agree,No,,"A grammatically correct writing that is easy to read/understand,The inclusion of test case information related to the code change",,"I tend to write ""Why"" in commit messages over time",,"I tend to ignore writing ""What"" in commit messages over time",,It is difficult to precisely describe what was changed and I rather focus on writing well readable code which doesn't need further description. On the other hand the reason why the code had to be changed is not always clear from the change itself and it gives context to the change. The context is very important especially when we refactor the code and thinking why it is written this way. The context can/should be also expressed by tests.
I consent,15 years or more but less than 20 years,5 years or more but less than 10 years,Agree,Strongly agree,Probably not,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Probably yes,Neither agree nor disagree,No,,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,15 years or more but less than 20 years,5 years or more but less than 10 years,Neither agree nor disagree,Agree,Definitely yes,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,,Probably yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Agree,No,,A grammatically correct writing that is easy to read/understand,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,5 years or more but less than 10 years,Agree,Agree,Probably not,Agree,Agree,Agree,Neither agree nor disagree,Disagree,,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)","https://www.conventionalcommits.org/en/v1.0.0/, https://www.kernel.org/doc/html/v4.10/process/submitting-patches.html#describe-your-changes","A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,,,,,
I consent,Over 20 years,Over 20 years,Agree,Agree,Definitely yes,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,,Agree,Strongly agree,Strongly agree,,Strongly disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Strongly agree,No,,A grammatically correct writing that is easy to read/understand,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,2 years or more but less than 5 years,Disagree,Strongly agree,Probably yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,,Agree,Agree,Agree,Strongly agree,Strongly disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Probably yes,Strongly agree,No,,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,15 years or more but less than 20 years,10 years or more but less than 15 years,Strongly agree,Strongly agree,Probably yes,,,,,,,,,,,,,Probably yes,"""Why"" and ""What"" are equally important",,Probably yes,Agree,"Yes, please specify: (e.g. links, documents...)",https://cbea.ms/git-commit/,"A grammatically correct writing that is easy to read/understand,The inclusion of test case information related to the code change",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"I write ""Problem:"" and ""Solution:"" section of commit messages"
I consent,Over 20 years,15 years or more but less than 20 years,Agree,Agree,Probably yes,Agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Probably yes,Agree,,,The inclusion of test case information related to the code change,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,2 years or more but less than 5 years,Strongly agree,Agree,Definitely yes,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,,Probably yes,"""Why"" and ""What"" are equally important",,Probably yes,Strongly agree,No,,"A consistent commit message writing style/format/pattern across all commits in a project,The inclusion of test case information related to the code change",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,5 years or more but less than 10 years,Agree,Strongly agree,Definitely yes,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,"I think the commit messages about bug fix should focus on ""why"" information, other than all commit messages.",Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,"I think the commit messages about new features should focus on ""what"" information, it's helpful to make a chrry pick.",Definitely yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",follow the popular format like: [jira-id] [module] description [github link],"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand,The inclusion of test case information related to the code change",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,15 years or more but less than 20 years,5 years or more but less than 10 years,Strongly agree,Strongly agree,Definitely yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",,A consice and to-the-point writing with the number of words restricted,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,Never,Neither agree nor disagree,Strongly agree,Probably yes,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,help other developers understand code change,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,help others  known what happen ,Probably yes,"""Why"" and ""What"" are equally important",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",,"A grammatically correct writing that is easy to read/understand,The inclusion of test case information related to the code change",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,write good commit message  is cheapter for long time  
I consent,5 years or more but less than 10 years,2 years or more but less than 5 years,Agree,Neither agree nor disagree,Definitely yes,Strongly agree,Strongly agree,Agree,Agree,Disagree,,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",,A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
